concurso;strategy;ordering;distribution_id;hits;hit_14;hit_13;hit_12;p13_plus_empirical;p12_plus_empirical;double_games;ticket
848;gain;gain;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;1,2,5,8,12;1X|X2|2|1|12|1|1|12|1|2|1|12|2|1
848;top2_probability;top2_probability;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;1,2,5,8,12;1X|X2|2|1|12|1|1|12|1|2|1|12|2|1
848;uncertainty;uncertainty;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;1,2,5,8,12;1X|X2|2|1|12|1|1|12|1|2|1|12|2|1
848;margin;margin;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;1,2,5,8,12;1X|X2|2|1|12|1|1|12|1|2|1|12|2|1
848;ratio;ratio;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;1,2,5,8,12;1X|X2|2|1|12|1|1|12|1|2|1|12|2|1
848;hist_top1;hist_top1;T1=14|T2=5|T3=0;11;0;0;0;0.00000000;0.00000000;1,3,4,6,10;1X|2|X2|1X|2|1X|1|2|1|12|1|1|2|1
848;hist_top2;hist_top2;T1=14|T2=5|T3=0;11;0;0;0;0.00000000;0.00000000;1,2,6,7,10;1X|X2|2|1|2|1X|12|2|1|12|1|1|2|1
848;exact;exact;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;1,2,5,8,12;1X|X2|2|1|12|1|1|12|1|2|1|12|2|1
849;gain;gain;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;1,2,6,7,13;1X|12|1|1|1|12|12|1|1|1|2|1|12|1
849;top2_probability;top2_probability;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;1,2,6,7,13;1X|12|1|1|1|12|12|1|1|1|2|1|12|1
849;uncertainty;uncertainty;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;1,2,6,7,13;1X|12|1|1|1|12|12|1|1|1|2|1|12|1
849;margin;margin;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;1,2,6,7,13;1X|12|1|1|1|12|12|1|1|1|2|1|12|1
849;ratio;ratio;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;1,2,6,7,13;1X|12|1|1|1|12|12|1|1|1|2|1|12|1
849;hist_top1;hist_top1;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;1,2,3,6,10;1X|12|1X|1|1|12|1|1|1|1X|2|1|2|1
849;hist_top2;hist_top2;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;1,2,6,7,10;1X|12|1|1|1|12|12|1|1|1X|2|1|2|1
849;exact;exact;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;1,2,6,7,13;1X|12|1|1|1|12|12|1|1|1|2|1|12|1
850;gain;gain;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;7,10,11,13,14;1|1|1|1|1|1|12|1|1|1X|1X|1|12|12
850;top2_probability;top2_probability;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;7,10,11,13,14;1|1|1|1|1|1|12|1|1|1X|1X|1|12|12
850;uncertainty;uncertainty;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;3,7,12,13,14;1|1|12|1|1|1|12|1|1|1|1|1X|12|12
850;margin;margin;T1=14|T2=5|T3=0;11;0;0;0;0.00000000;0.00000000;7,11,12,13,14;1|1|1|1|1|1|12|1|1|1|1X|1X|12|12
850;ratio;ratio;T1=14|T2=5|T3=0;11;0;0;0;0.00000000;0.00000000;7,11,12,13,14;1|1|1|1|1|1|12|1|1|1|1X|1X|12|12
850;hist_top1;hist_top1;T1=14|T2=5|T3=0;8;0;0;0;0.00000000;0.00000000;1,2,3,6,10;1X|1X|12|1|1|1X|2|1|1|1X|1|1|1|1
850;hist_top2;hist_top2;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.00000000;1,2,6,7,10;1X|1X|1|1|1|1X|12|1|1|1X|1|1|1|1
850;exact;exact;T1=14|T2=5|T3=0;11;0;0;0;0.00000000;0.00000000;7,11,12,13,14;1|1|1|1|1|1|12|1|1|1|1X|1X|12|12
851;gain;gain;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.00000000;3,5,6,8,9;1|2|12|1|1X|1X|1|12|12|1|1|1|2|1
851;top2_probability;top2_probability;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.00000000;3,5,6,8,9;1|2|12|1|1X|1X|1|12|12|1|1|1|2|1
851;uncertainty;uncertainty;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.00000000;3,5,6,8,9;1|2|12|1|1X|1X|1|12|12|1|1|1|2|1
851;margin;margin;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.00000000;3,5,6,8,9;1|2|12|1|1X|1X|1|12|12|1|1|1|2|1
851;ratio;ratio;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.00000000;3,5,6,8,9;1|2|12|1|1X|1X|1|12|12|1|1|1|2|1
851;hist_top1;hist_top1;T1=14|T2=5|T3=0;7;0;0;0;0.00000000;0.00000000;1,3,6,7,10;1X|2|12|1|1|1X|1X|1|2|1X|1|1|2|1
851;hist_top2;hist_top2;T1=14|T2=5|T3=0;7;0;0;0;0.00000000;0.00000000;1,2,6,7,10;1X|12|2|1|1|1X|1X|1|2|1X|1|1|2|1
851;exact;exact;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.00000000;2,3,5,8,9;1|12|12|1|1X|1|1|12|12|1|1|1|2|1
852;gain;gain;T1=14|T2=5|T3=0;7;0;0;0;0.00000000;0.00000000;1,5,8,9,11;12|1|1|1|X2|1|1|12|1X|1|12|1|1|1
852;top2_probability;top2_probability;T1=14|T2=5|T3=0;7;0;0;0;0.00000000;0.00000000;1,5,8,9,11;12|1|1|1|X2|1|1|12|1X|1|12|1|1|1
852;uncertainty;uncertainty;T1=14|T2=5|T3=0;7;0;0;0;0.00000000;0.00000000;1,3,5,8,11;12|1|1X|1|X2|1|1|12|1|1|12|1|1|1
852;margin;margin;T1=14|T2=5|T3=0;7;0;0;0;0.00000000;0.00000000;1,3,5,8,11;12|1|1X|1|X2|1|1|12|1|1|12|1|1|1
852;ratio;ratio;T1=14|T2=5|T3=0;7;0;0;0;0.00000000;0.00000000;1,3,5,8,11;12|1|1X|1|X2|1|1|12|1|1|12|1|1|1
852;hist_top1;hist_top1;T1=14|T2=5|T3=0;7;0;0;0;0.00000000;0.00000000;1,2,3,6,10;12|1X|1X|1|2|1X|1|2|1|1X|2|1|1|1
852;hist_top2;hist_top2;T1=14|T2=5|T3=0;8;0;0;0;0.00000000;0.00000000;1,2,6,7,10;12|1X|1|1|2|1X|12|2|1|1X|2|1|1|1
852;exact;exact;T1=14|T2=5|T3=0;7;0;0;0;0.00000000;0.00000000;1,3,5,8,11;12|1|1X|1|X2|1|1|12|1|1|12|1|1|1
853;gain;gain;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.00000000;2,3,5,13,14;1|12|X2|1|1X|1|1|1|1|1|1|1|12|12
853;top2_probability;top2_probability;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.00000000;2,3,5,13,14;1|12|X2|1|1X|1|1|1|1|1|1|1|12|12
853;uncertainty;uncertainty;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.00000000;2,3,5,13,14;1|12|X2|1|1X|1|1|1|1|1|1|1|12|12
853;margin;margin;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.00000000;2,3,5,13,14;1|12|X2|1|1X|1|1|1|1|1|1|1|12|12
853;ratio;ratio;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.00000000;2,3,5,13,14;1|12|X2|1|1X|1|1|1|1|1|1|1|12|12
853;hist_top1;hist_top1;T1=14|T2=5|T3=0;5;0;0;0;0.00000000;0.00000000;1,3,6,7,10;1X|2|X2|1|1|1X|1X|1|1|1X|1|1|1|1
853;hist_top2;hist_top2;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.00000000;1,2,6,7,10;1X|12|2|1|1|1X|1X|1|1|1X|1|1|1|1
853;exact;exact;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.00000000;2,3,5,13,14;1|12|X2|1|1X|1|1|1|1|1|1|1|12|12
854;gain;gain;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;1,5,6,7,13;1X|1|1|1|1X|12|12|1|1|2|1|1|1X|1
854;top2_probability;top2_probability;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;1,5,6,7,13;1X|1|1|1|1X|12|12|1|1|2|1|1|1X|1
854;uncertainty;uncertainty;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.00000000;1,5,6,7,9;1X|1|1|1|1X|12|12|1|1X|2|1|1|1|1
854;margin;margin;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.00000000;1,5,6,7,9;1X|1|1|1|1X|12|12|1|1X|2|1|1|1|1
854;ratio;ratio;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.00000000;1,5,6,7,9;1X|1|1|1|1X|12|12|1|1X|2|1|1|1|1
854;hist_top1;hist_top1;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.00000000;1,3,6,7,10;1X|1|1X|1|1|12|12|1|1|X2|1|1|1|1
854;hist_top2;hist_top2;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;2,4,6,7,10;1|1X|1|1X|1|12|12|1|1|X2|1|1|1|1
854;exact;exact;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.00000000;1,5,6,7,9;1X|1|1|1|1X|12|12|1|1X|2|1|1|1|1
855;gain;gain;T1=14|T2=5|T3=0;13;0;1;0;0.12500000;0.12500000;2,8,9,10,12;1|1X|2|1|1|1|1|12|12|12|1|12|1|1
855;top2_probability;top2_probability;T1=14|T2=5|T3=0;13;0;1;0;0.12500000;0.12500000;2,8,9,10,12;1|1X|2|1|1|1|1|12|12|12|1|12|1|1
855;uncertainty;uncertainty;T1=14|T2=5|T3=0;12;0;0;1;0.00000000;0.12500000;4,8,9,10,12;1|1|2|12|1|1|1|12|12|12|1|12|1|1
855;margin;margin;T1=14|T2=5|T3=0;12;0;0;1;0.00000000;0.12500000;4,8,9,10,12;1|1|2|12|1|1|1|12|12|12|1|12|1|1
855;ratio;ratio;T1=14|T2=5|T3=0;12;0;0;1;0.00000000;0.12500000;4,8,9,10,12;1|1|2|12|1|1|1|12|12|12|1|12|1|1
855;hist_top1;hist_top1;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;3,4,6,7,10;1|1|X2|12|1|1X|1X|1|1|12|1|1|1|1
855;hist_top2;hist_top2;T1=14|T2=5|T3=0;11;0;0;0;0.00000000;0.00000000;2,4,6,7,10;1|1X|2|12|1|1X|1X|1|1|12|1|1|1|1
855;exact;exact;T1=14|T2=5|T3=0;12;0;0;1;0.00000000;0.12500000;4,8,9,10,12;1|1|2|12|1|1|1|12|12|12|1|12|1|1
856;gain;gain;T1=14|T2=5|T3=0;9;0;0;0;0.11111111;0.11111111;4,6,7,10,11;2|1|1|12|1|1X|12|1|1|12|12|1|1|1
856;top2_probability;top2_probability;T1=14|T2=5|T3=0;9;0;0;0;0.11111111;0.11111111;4,6,7,10,11;2|1|1|12|1|1X|12|1|1|12|12|1|1|1
856;uncertainty;uncertainty;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.11111111;4,6,7,10,11;2|1|1|12|1|1X|12|1|1|12|12|1|1|1
856;margin;margin;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.11111111;4,6,7,10,11;2|1|1|12|1|1X|12|1|1|12|12|1|1|1
856;ratio;ratio;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.11111111;4,6,7,10,11;2|1|1|12|1|1X|12|1|1|12|12|1|1|1
856;hist_top1;hist_top1;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.00000000;2,3,4,6,7;2|1X|1X|12|1|1X|12|1|1|1|1|1|1|1
856;hist_top2;hist_top2;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;2,4,6,7,10;2|1X|1|12|1|1X|12|1|1|12|1|1|1|1
856;exact;exact;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.11111111;4,6,7,10,11;2|1|1|12|1|1X|12|1|1|12|12|1|1|1
857;gain;gain;T1=14|T2=5|T3=0;10;0;0;0;0.10000000;0.10000000;2,3,7,13,14;1|X2|1X|1|1|2|12|2|1|1|1|1|12|12
857;top2_probability;top2_probability;T1=14|T2=5|T3=0;10;0;0;0;0.10000000;0.10000000;2,3,7,13,14;1|X2|1X|1|1|2|12|2|1|1|1|1|12|12
857;uncertainty;uncertainty;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.10000000;7,10,12,13,14;1|2|1|1|1|2|12|2|1|12|1|12|12|12
857;margin;margin;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.10000000;7,10,12,13,14;1|2|1|1|1|2|12|2|1|12|1|12|12|12
857;ratio;ratio;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.10000000;7,10,12,13,14;1|2|1|1|1|2|12|2|1|12|1|12|12|12
857;hist_top1;hist_top1;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;2,3,4,6,7;1|X2|1X|1X|1|12|12|2|1|1|1|1|1|2
857;hist_top2;hist_top2;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.00000000;2,4,6,7,10;1|X2|1|1X|1|12|12|2|1|12|1|1|1|2
857;exact;exact;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.10000000;7,10,12,13,14;1|2|1|1|1|2|12|2|1|12|1|12|12|12
858;gain;gain;T1=14|T2=5|T3=0;12;0;0;1;0.09090909;0.18181818;5,7,8,9,11;2|2|1|2|X2|1|1X|1X|1X|1|1X|1|1|1
858;top2_probability;top2_probability;T1=14|T2=5|T3=0;12;0;0;1;0.09090909;0.18181818;5,7,8,9,11;2|2|1|2|X2|1|1X|1X|1X|1|1X|1|1|1
